run_id,run_role,seed,max_steps,step,epoch,loss,grad_norm,learning_rate
sft_pilot6k_seed1,pilot,1,6000,10,0.00010111223458038423,0.6636015892028808,0.011635859496891499,3e-08
sft_pilot6k_seed1,pilot,1,6000,20,0.00020222446916076846,0.7386164665222168,0.1157751977443695,6.333333333333333e-08
sft_pilot6k_seed1,pilot,1,6000,30,0.00030333670374115267,1.3030953407287598,24.88001251220703,9.666666666666666e-08
sft_pilot6k_seed1,pilot,1,6000,40,0.0004044489383215369,0.5652437210083008,0.09757985174655914,1.3e-07
sft_pilot6k_seed1,pilot,1,6000,50,0.0005055611729019212,0.9136473655700683,43.54343795776367,1.6333333333333331e-07
sft_pilot6k_seed1,pilot,1,6000,60,0.0006066734074823053,1.2800739288330079,24.188228607177734,1.9666666666666665e-07
sft_pilot6k_seed1,pilot,1,6000,70,0.0007077856420626896,1.731221580505371,28.68402671813965,2.3e-07
sft_pilot6k_seed1,pilot,1,6000,80,0.0008088978766430738,0.9305400848388672,0.009469442069530487,2.633333333333333e-07
sft_pilot6k_seed1,pilot,1,6000,90,0.000910010111223458,0.5465485572814941,0.007850321009755135,2.966666666666667e-07
sft_pilot6k_seed1,pilot,1,6000,100,0.0010111223458038423,1.414280319213867,25.10433578491211,3.3e-07
sft_pilot6k_seed1,pilot,1,6000,110,0.0011122345803842265,0.7042290687561035,30.935747146606445,3.6333333333333333e-07
sft_pilot6k_seed1,pilot,1,6000,120,0.0012133468149646107,0.615182638168335,0.017869945615530014,3.9666666666666665e-07
sft_pilot6k_seed1,pilot,1,6000,130,0.0013144590495449949,0.647584056854248,0.06236322596669197,4.2999999999999996e-07
sft_pilot6k_seed1,pilot,1,6000,140,0.0014155712841253793,1.1830866813659668,0.0261557474732399,4.633333333333333e-07
sft_pilot6k_seed1,pilot,1,6000,150,0.0015166835187057635,0.8581430435180664,23.94338607788086,4.966666666666666e-07
sft_pilot6k_seed1,pilot,1,6000,160,0.0016177957532861476,1.029702854156494,26.467256546020508,5.3e-07
