run_id,run_role,seed,max_steps,step,epoch,loss,grad_norm,learning_rate
sft_full_seed1,full,1,30000,10,0.00010111223458038423,0.6636096477508545,0.016317997127771378,6e-09
sft_full_seed1,full,1,30000,20,0.00020222446916076846,0.7333549499511719,0.1363864541053772,1.2666666666666666e-08
sft_full_seed1,full,1,30000,30,0.00030333670374115267,1.2977746963500976,24.144683837890625,1.9333333333333334e-08
sft_full_seed1,full,1,30000,40,0.0004044489383215369,0.5689133167266845,0.08456316590309143,2.5999999999999998e-08
sft_full_seed1,full,1,30000,50,0.0005055611729019212,0.9218499183654785,43.60584259033203,3.266666666666666e-08
sft_full_seed1,full,1,30000,60,0.0006066734074823053,1.2592313766479493,23.814470291137695,3.933333333333333e-08
sft_full_seed1,full,1,30000,70,0.0007077856420626896,1.7477428436279296,29.016164779663086,4.5999999999999995e-08
sft_full_seed1,full,1,30000,80,0.0008088978766430738,0.9306212425231933,0.00981901679188013,5.266666666666666e-08
sft_full_seed1,full,1,30000,90,0.000910010111223458,0.5346104145050049,0.0052600461058318615,5.9333333333333335e-08
sft_full_seed1,full,1,30000,100,0.0010111223458038423,1.4142579078674316,23.952835083007812,6.6e-08
sft_full_seed1,full,1,30000,110,0.0011122345803842265,0.7027385711669922,32.498863220214844,7.266666666666667e-08
sft_full_seed1,full,1,30000,120,0.0012133468149646107,0.648369836807251,0.019490020349621773,7.933333333333333e-08
sft_full_seed1,full,1,30000,130,0.0013144590495449949,0.6352775573730469,0.05991530790925026,8.599999999999999e-08
sft_full_seed1,full,1,30000,140,0.0014155712841253793,1.2031529426574707,0.02475132793188095,9.266666666666666e-08
sft_full_seed1,full,1,30000,150,0.0015166835187057635,0.8747446060180664,22.852468490600586,9.933333333333332e-08
sft_full_seed1,full,1,30000,160,0.0016177957532861476,1.0335422515869142,25.51089859008789,1.06e-07
sft_full_seed1,full,1,30000,170,0.0017189079878665318,0.8575815200805664,19.533214569091797,1.1266666666666666e-07
sft_full_seed1,full,1,30000,180,0.001820020222446916,0.7639039516448974,21.2691593170166,1.1933333333333332e-07
sft_full_seed1,full,1,30000,190,0.0019211324570273002,0.8983250617980957,0.014519358985126019,1.26e-07
sft_full_seed1,full,1,30000,200,0.0020222446916076846,1.2904294967651366,0.001803436316549778,1.3266666666666664e-07
sft_full_seed1,full,1,30000,210,0.002123356926188069,1.022988510131836,0.029971927404403687,1.3933333333333334e-07
sft_full_seed1,full,1,30000,220,0.002224469160768453,0.7424226760864258,27.087493896484375,1.4599999999999998e-07
sft_full_seed1,full,1,30000,230,0.002325581395348837,0.9727929115295411,22.369831085205078,1.5266666666666666e-07
sft_full_seed1,full,1,30000,240,0.0024266936299292214,0.8483625411987304,0.03223924711346626,1.5933333333333333e-07
