seed,step,mean_kl,ci_lo,ci_hi,median_kl,p90_kl,max_kl,js_mean,hard_choice_disagreement,n_prompts,n_pair_clusters,clipped_rows
base,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19780,4945,0
1,2000,3.437609050003664,3.4038235262657675,3.474160214520386,3.9465547866260358,6.235373072508739,10.999000260081667,0.41784315433784147,0.6951466127401416,19780,4945,0
1,4000,2.271115021128246,2.2443611536100407,2.298143610060848,1.8891494747530666,5.412633759184716,10.99328985525125,0.2997604281241571,0.508695652173913,19780,4945,0
1,6000,1.9233179664556461,1.8977620352249405,1.9502137672752047,0.2387326493416951,5.3140394035596366,10.999449252474296,0.2606970305332866,0.4389282103134479,19780,4945,0
1,8000,1.9441368859836876,1.91944685169646,1.9711209051639509,0.15734902126334926,5.490243998097154,11.731990071188747,0.2597179772420447,0.4332659251769464,19780,4945,0
1,10000,2.616505075670785,2.5869084493873067,2.6473607832051127,2.269291044851491,6.368482692386327,12.62392630430545,0.32994700843966274,0.530535894843276,19780,4945,0
1,12000,2.836913243580733,2.803064648615936,2.8712218684409727,2.8120099558855935,6.6248727170799135,13.109481503391624,0.34903013271891137,0.557633973710819,19780,4945,0
1,14000,2.5126064737853797,2.4826521405475166,2.5433648755765863,1.5003767822188634,6.490673282585889,14.058563287647038,0.31553653334098897,0.5019716885743175,19780,4945,0
1,16000,2.457153591005056,2.4267432978614036,2.4883621230178736,1.0666640997457757,6.412729165651611,13.283549771437938,0.30835067927570065,0.4914054600606673,19780,4945,0
1,18000,2.7573987588914886,2.723554178496823,2.7930585165984847,2.3443999337858283,6.748705538324343,15.012810193168946,0.3384737942933508,0.5333164812942366,19780,4945,0
1,20000,2.80761332882031,2.7725251419721557,2.8442289387409185,2.4682476299036895,6.868266424197963,15.1431882661008,0.343089472994687,0.5381193124368049,19780,4945,0
1,22000,2.6806154387182843,2.647202084956853,2.71467708254412,1.9134512015309153,6.748976555360457,15.231005142862452,0.32989065800229783,0.5170374115267947,19780,4945,0
1,24000,2.4495444402288147,2.4183028788323546,2.480211227397921,0.42335023411288913,6.499109355885588,13.372114588070446,0.3055753799349804,0.482103134479272,19780,4945,0
1,26000,2.538721712072693,2.5068142157648525,2.571254751244418,1.1390209307755401,6.623551494539856,13.938920749432627,0.3149294762138636,0.4957532861476239,19780,4945,0
1,28000,2.566070009737753,2.5336357106723315,2.598674931000055,1.3131398830263092,6.6242745646896495,15.0809590345949,0.3178028928860006,0.5001011122345804,19780,4945,0
1,30000,2.578018416515374,2.545834542372803,2.6110774747506,1.3132455831966652,6.624610509000451,15.012810193168946,0.31916582077641487,0.5013650151668352,19780,4945,0
2,2000,1.6918981299295919,1.667501926575782,1.7154862194493443,0.7016427613363081,4.453956794673217,7.816261628847673,0.23314524163769565,0.4282608695652174,19780,4945,0
2,4000,1.8616682292395614,1.8373088108771283,1.8866885969029232,0.5419456081558198,4.998168971880085,10.909494295425931,0.254396151906551,0.4413549039433772,19780,4945,0
2,6000,2.6025618885286796,2.5720753060401136,2.6332273989527146,2.5774079323679953,6.024430430606504,12.623636237400888,0.334283289315266,0.5444388270980789,19780,4945,0
2,8000,2.7253986908336487,2.694227687155662,2.756872088075347,2.6876625169189943,6.24999043364168,14.018094737610268,0.34361852156441774,0.5556622851365015,19780,4945,0
2,10000,2.2403855783445956,2.214530506709346,2.267741866697456,0.89568016437724,5.873901673535493,13.785004685395442,0.28855639706569397,0.47603640040444894,19780,4945,0
2,12000,2.396184679416247,2.368163579809482,2.424919260812164,1.1395253041194402,6.241845305937817,12.624938696698011,0.3053999937247794,0.4916076845298281,19780,4945,0
2,14000,2.282818503085897,2.256169399217779,2.3109783055648094,0.3973144034532142,6.12499571512981,13.165403350084661,0.292172936177484,0.4691607684529828,19780,4945,0
2,16000,2.4099231461182615,2.3807042467138997,2.4391516447588937,0.7428614227695367,6.374108758163008,13.370869529345454,0.30501565515578943,0.4839737108190091,19780,4945,0
2,18000,2.3398716414834295,2.3114745238725103,2.36990563863833,0.27035858239911614,6.301511558140338,13.369088456715202,0.2963316567658044,0.471587462082912,19780,4945,0
2,20000,2.594603540614234,2.5621888837159488,2.62722218670208,1.6135683864701698,6.624501084891404,14.030077803510176,0.32243617439316524,0.5073306370070778,19780,4945,0
2,22000,2.5519476419367977,2.520473763575218,2.584804894843176,1.1407324398305527,6.624438535998317,14.096141286818293,0.3169442341809276,0.49868554095045503,19780,4945,0
2,24000,2.6793158956095944,2.6454082191034756,2.7137207597891857,1.9135213782761835,6.749431127158589,14.674088798412498,0.3295871047469784,0.516835187057634,19780,4945,0
2,26000,2.498097939590813,2.466835629857471,2.530146659838955,0.7388337856985916,6.608355110233704,13.97233465928659,0.3105268713830941,0.4891304347826087,19780,4945,0
2,28000,2.506641420615514,2.475055360803945,2.5397768014071556,0.8258668972654762,6.618451200624343,14.07263780765653,0.3113639605753155,0.4906976744186046,19780,4945,0
2,30000,2.551203494184031,2.519271745354656,2.584471368701249,1.1395126097073247,6.624360559133462,14.066017438391931,0.3162217955364837,0.49706774519716884,19780,4945,0
