run_id,run_role,seed,step,lambda,lambda_se,eta,eta_se,d,consistency,keep_both,trade_both,W,n_cases,adapter_path,adapter_weight_sha256,nls_csv_sha256,dataset,estimator,status,d_recomputed
sft_full_seed1,full,1,22000,0.14180269,0.00819494,-0.62810367,0.02861223,0.643911657883832,0.8619817997977756,0.047623862487360974,0.09039433771486349,0.9718270707491903,9890,checkpoints/sft_qwen_delta_seed1/checkpoint-22000,d0a96a4835669e8b4d8ad078e28345f3d8b34393c244ee3db44f2d3a85f3e8c5,041bb9e6bbdae409f3edbe0b6cd977353133765e8f2f88cd0a7382d9a39f92b6,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.643911657883832
sft_full_seed1,full,1,24000,0.31442149,0.0094555,-0.59165971,0.02777267,0.6700164817458628,0.8639029322548029,0.08159757330637007,0.054499494438827095,0.9729996800055015,9890,checkpoints/sft_qwen_delta_seed1/checkpoint-24000,066cb6633ae0f38f4fb034be963b7bc595dfb37f476e4d95b39a47e74fcc0da9,25427ba1f8054962e02b34975ba67b84fea8b2f79e6b8e03c4cb43dd79eb41e4,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.6700164817458628
sft_full_seed1,full,1,26000,0.23265091,0.00866333,-0.58151791,0.02771046,0.6263302049036085,0.865520728008089,0.06713852376137512,0.0673407482305359,0.9730458865644853,9890,checkpoints/sft_qwen_delta_seed1/checkpoint-26000,b6bc2640c38342010000ca899082ea55f7ee1187d319d52b040a7f3285243fe1,df377b63432b08788545ae4cd4c37007b2f9e9205963fd5b6e0aa584f3d35d34,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.6263302049036085
sft_full_seed1,full,1,28000,0.21871082,0.00851288,-0.59664973,0.02774358,0.6354725195428559,0.865520728008089,0.06279069767441861,0.07168857431749241,0.9732001790802525,9890,checkpoints/sft_qwen_delta_seed1/checkpoint-28000,9a586dd5e8c6c2c151a27c0c6f2d2de887642880390bd5deb6cf8f37e2de86fa,da84db66cd5c0479053107289d8b45dc93cb462f04b9932eed53570912ee63d2,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.6354725195428558
sft_full_seed1,full,1,30000,0.20645586,0.0084445,-0.59603263,0.02788012,0.6307764407086368,0.8674418604651163,0.06056622851365015,0.07199191102123358,0.9733986492539954,9890,checkpoints/sft_qwen_delta_seed1/checkpoint-30000,9e30ab8bccb0dabd731465ba236a08704bc58710e90ec80bf4fb5d67469de7dc,48b0f1ed9355eb43199d62bd01629c9ccc17433e53e3c62d47da4ffcc5c22b46,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.6307764407086368
sft_full_seed2,full,2,2000,0.09847788,0.01701112,0.28014062,0.03505006,0.29694555026684405,0.653690596562184,0.24054600606673407,0.1057633973710819,0.8834503933899818,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-2000,14bf6d88e1fa4bd266f5d3e45f3ef06c767c21ef256c19b50b00f94184a7529a,1a911598c41cdaa46be08d708efe3f27e0d815d69f818fbc14008ca0aaf0b377,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.29694555026684405
sft_full_seed2,full,2,4000,0.05404485,0.01395989,0.31248556,0.03208333,0.3171246931729475,0.7170879676440849,0.19575328614762386,0.0871587462082912,0.9014944937489597,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-4000,785f6d71d4ab810d863303bb8a68b9c11553303b8e594590ff02270d9959a1cb,4c0decce996277257e28144799a110c0cad7ee5e040448726a747be2589d3a98,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.3171246931729475
sft_full_seed2,full,2,6000,-0.088531,0.01064003,-0.1428935,0.02998156,0.16809607462177695,0.7665318503538928,0.0679474216380182,0.16552072800808898,0.9174564666166017,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-6000,7f35750ed51da9236863d3ad72650709045bd49f3fb169acc768c672c6c3d9ce,027a847e6c4e7d647d21e74f1ca39f35e1f64344c6dedf7e3260adf62f51008d,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.16809607462177695
sft_full_seed2,full,2,8000,-0.0611424,0.00968231,-0.35485026,0.02799196,0.36007929696086055,0.7905965621840243,0.04469160768452983,0.1647118301314459,0.9327866528912437,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-8000,f373a33a2774e9d5d4dda6cad564ee6d8133991759169f9d9b9e53ca3e5ee65d,d168221065e2fe828f87f1a7d7e91846c87a414c81f9ac91082df808fad42f9c,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.36007929696086055
sft_full_seed2,full,2,10000,0.25128889,0.01111836,-0.31945431,0.02711431,0.40644453793230906,0.8228513650151669,0.10819009100101112,0.06895854398382205,0.9472862536379023,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-10000,d0c8fa8f619382d7209acc36fa1e736f99e7209e822511aa8ed57cc79062c90c,502cf97efd793820db2496462f31ce6cdd322825db1228d0dcb8f86fa77dbf25,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.40644453793230906
