Parameter,Estimate,Std. Err.,Variance
lambda,0.03052213,0.00674801,0.00004554
eta,0.08893220,0.01405646,0.00019758
alpha_2,0.04850064,0.02227070,0.00049598
alpha_3,-0.00553763,0.02287270,0.00052316
alpha_4,0.43150343,0.01804405,0.00032559
alpha_5,0.18012017,0.02035884,0.00041448
alpha_6,0.35827582,0.01871657,0.00035031
alpha_7,0.66233441,0.01697099,0.00028801
alpha_8,0.14216144,0.02060483,0.00042456
alpha_9,0.19534604,0.01992068,0.00039683
alpha_10,-0.10720601,0.02439977,0.00059535
alpha_11,-0.05859290,0.02348405,0.00055150
alpha_12,-0.16546977,0.02554283,0.00065244
alpha_13,0.31783698,0.01876116,0.00035198
alpha_14,0.21198790,0.01990406,0.00039617
alpha_15,0.07287382,0.02160250,0.00046667
alpha_16,0.30973164,0.01892983,0.00035834
alpha_17,-0.04422564,0.02331714,0.00054369
alpha_18,0.21355165,0.01980208,0.00039212
alpha_19,-0.18430558,0.02622722,0.00068787
alpha_20,0.36933949,0.01849878,0.00034220
alpha_21,-1.08186148,0.06451384,0.00416204
alpha_22,-0.51380018,0.03533556,0.00124860
alpha_23,0.54038074,0.01741913,0.00030343
alpha_24,-0.08499738,0.02397272,0.00057469
alpha_25,0.06411180,0.02158873,0.00046607
alpha_26,0.08586322,0.02133250,0.00045508
alpha_27,0.25125600,0.01938930,0.00037595
alpha_28,0.58509889,0.01727081,0.00029828
alpha_29,0.48459314,0.01765319,0.00031163
alpha_30,0.62484907,0.01694147,0.00028701
alpha_31,0.37229060,0.01829566,0.00033473
alpha_32,0.20204334,0.01997448,0.00039898
alpha_33,0.22524424,0.01968610,0.00038754
alpha_34,0.17392591,0.02015068,0.00040605
alpha_35,-0.58635450,0.03730311,0.00139152
alpha_36,0.28359090,0.01900198,0.00036108
alpha_37,-0.98300935,0.05828280,0.00339688
alpha_38,-0.98518578,0.05888018,0.00346688
alpha_39,0.05921000,0.02150531,0.00046248
alpha_40,-0.48945685,0.03481588,0.00121215
alpha_41,0.34006086,0.01856473,0.00034465
alpha_42,0.59810900,0.01723116,0.00029691
alpha_43,0.33991408,0.01829637,0.00033476
alpha_44,-0.23555661,0.02705960,0.00073222
alpha_45,0.50330669,0.01750630,0.00030647
alpha_46,-0.06628985,0.02363642,0.00055868
alpha_47,0.47955541,0.01779856,0.00031679
alpha_48,-0.63850818,0.04009215,0.00160738
alpha_49,-0.89153578,0.05226766,0.00273191
alpha_50,-0.55606072,0.03694262,0.00136476
alpha_51,-1.89429235,0.16045604,0.02574614
alpha_52,-0.93548647,0.05464331,0.00298589
alpha_53,0.10292890,0.02117610,0.00044843
alpha_54,0.37089390,0.01839260,0.00033829
alpha_55,-0.26653256,0.02807439,0.00078817
alpha_56,-0.11264889,0.02467583,0.00060890
alpha_57,-0.90639511,0.05268127,0.00277532
alpha_58,-0.52077166,0.03549488,0.00125989
alpha_59,-0.64813683,0.04030007,0.00162410
alpha_60,-0.15815584,0.02582881,0.00066713
alpha_61,-0.23021905,0.02691779,0.00072457
alpha_62,-0.18486159,0.02605584,0.00067891
alpha_63,-0.35452868,0.03010932,0.00090657
alpha_64,0.37292553,0.01838969,0.00033818
alpha_65,0.25718811,0.01926076,0.00037098
alpha_66,0.38349260,0.01809593,0.00032746
alpha_67,0.06454264,0.02160164,0.00046663
alpha_68,-0.99445338,0.05915168,0.00349892
alpha_69,0.01864578,0.02246300,0.00050459
alpha_70,0.43393209,0.01790750,0.00032068
alpha_71,-0.38858469,0.03105037,0.00096413
alpha_72,-0.84081635,0.04929558,0.00243005
alpha_73,-0.33387302,0.02951159,0.00087093
alpha_74,0.37917347,0.01840965,0.00033892
alpha_75,-0.10698600,0.02440199,0.00059546
alpha_76,0.21195961,0.01985913,0.00039439
alpha_77,-0.55886569,0.03648762,0.00133135
alpha_78,0.17867240,0.02014137,0.00040567
alpha_79,0.08590358,0.02124895,0.00045152
alpha_80,-0.69975681,0.04180599,0.00174774
alpha_81,0.00913848,0.02256580,0.00050922
alpha_82,-0.42966620,0.03215233,0.00103377
alpha_83,1.19676013,0.02014775,0.00040593
alpha_84,-0.02670944,0.02303306,0.00053052
alpha_85,0.43628833,0.01778670,0.00031637
alpha_86,0.35466413,0.01866733,0.00034847
alpha_87,0.68689055,0.01698432,0.00028847
alpha_88,0.42823899,0.01810483,0.00032779
alpha_89,0.80065201,0.01740740,0.00030302
alpha_90,-0.62016525,0.03870362,0.00149797
alpha_91,-0.44569025,0.03319846,0.00110214
alpha_92,0.38488704,0.01822565,0.00033217
alpha_93,0.74248803,0.01709572,0.00029226
alpha_94,-0.06613570,0.02369113,0.00056127
alpha_95,0.63740849,0.01704218,0.00029044
alpha_96,0.53790357,0.01746780,0.00030512
alpha_97,-0.06735730,0.02377587,0.00056529
alpha_98,1.34878816,0.02570911,0.00066096
alpha_99,0.48118902,0.01756925,0.00030868
alpha_100,0.42906914,0.01804276,0.00032554
"beta_1,2",0.41594519,0.00927947,0.00008611
"beta_1,3",0.53755033,0.00929172,0.00008634
"beta_2,1",0.45522431,0.00925425,0.00008564
"beta_2,2",0.73478384,0.00973513,0.00009477
"beta_2,3",0.84144503,0.01007923,0.00010159
"beta_3,1",0.57022679,0.00929875,0.00008647
"beta_3,2",0.85532282,0.01012674,0.00010255
"beta_3,3",0.98219966,0.01078545,0.00011633
