kind,label,seed_a,step_a,seed_b,step_b,layer,family,module,cosine,diff_fro,fro_a,fro_b,rel_norm_change,rel_diff_fro,d_eff_rank,d_energy_share,d_rank90
within_seed,seed1 2k->selected(4000),1,2000,1,4000,3,mlp,down_proj,0.8648446139,0.01709232711,0.02452182098,0.03306457735,0.3483736534,0.6970251974,1.511589022,0.0006761127532,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,4,attention,q_proj,0.8206764608,0.01391130288,0.01729264637,0.02398412231,0.3869549981,0.8044635035,0.7082099258,0.0004070891458,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,4,attention,k_proj,0.8081413733,0.00499899076,0.006032875576,0.008391665138,0.3909892608,0.8286248733,0.2273829637,5.046261374e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,4,attention,v_proj,0.8457265994,0.005647486107,0.007112520313,0.0101972756,0.4337077643,0.7940203835,-0.3073384557,8.384667189e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,4,attention,o_proj,0.834873063,0.01607364276,0.01965071165,0.02829548529,0.439921658,0.8179674633,-0.6895227331,0.0006555050048,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,4,mlp,gate_proj,0.8408585085,0.03711177639,0.04469269658,0.06572487525,0.4705954278,0.8303767556,-0.2269854458,0.003791126582,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,4,mlp,up_proj,0.8449263347,0.04032453159,0.04884389186,0.071986146,0.4738003721,0.8255798228,-0.3514112962,0.004578646831,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,4,mlp,down_proj,0.8497570203,0.01803572462,0.02363157046,0.03312281565,0.4016341274,0.7632046566,-0.349671114,0.0008115699699,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,5,attention,q_proj,0.8607198239,0.01402264979,0.01892828793,0.02647931466,0.3989281412,0.7408303298,1.134038863,0.0005145746181,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,5,attention,k_proj,0.8390265374,0.005335076894,0.006559974944,0.009469306901,0.443497419,0.813277023,-0.1693379953,7.404684804e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,5,attention,v_proj,0.8555500233,0.005743550164,0.007648629328,0.01070406864,0.3994754074,0.7509254165,0.005129808789,8.422315121e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,5,attention,o_proj,0.8614872282,0.01539663565,0.02197530913,0.02954002521,0.3442370726,0.7006334048,0.4954791103,0.00053090249,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,5,mlp,gate_proj,0.8409619967,0.03857472071,0.04744007833,0.06868910871,0.4479130543,0.813125148,-0.1945904115,0.00393703186,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,5,mlp,up_proj,0.8517712689,0.03741949194,0.04912852332,0.06900720055,0.4046259867,0.7616653099,-0.4667886084,0.00355308624,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,5,mlp,down_proj,0.8559731188,0.01827936859,0.02486006655,0.03427691766,0.3787942841,0.7352904125,-1.137051506,0.0008100186388,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,6,attention,q_proj,0.8507851267,0.01488146855,0.02059244942,0.02773497178,0.3468515185,0.7226662669,0.6407383507,0.0004728866658,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,6,attention,k_proj,0.8475334658,0.005658177304,0.007429568745,0.01035467354,0.3937112494,0.7615754694,0.5638757423,7.747236608e-05,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,6,attention,v_proj,0.8613545208,0.006318188823,0.008133492697,0.01178570881,0.4490341663,0.7768112738,-0.2730574462,0.0001162087852,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,6,attention,o_proj,0.8567848009,0.01736018771,0.02332337808,0.03250194451,0.3935350357,0.7443256138,-0.4528103335,0.0007628886183,-1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,6,mlp,gate_proj,0.8482456646,0.03756501645,0.04875883291,0.06864155652,0.4077768563,0.7704248483,-0.11676259,0.003547117964,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,6,mlp,up_proj,0.8575078025,0.03755611815,0.05174466242,0.07086253806,0.3694656559,0.7257969498,0.259053377,0.003355176802,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,6,mlp,down_proj,0.8689398887,0.01873184778,0.02688845124,0.03654741917,0.3592236625,0.6966503058,-1.13897949,0.0008606056652,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,7,attention,q_proj,0.8409021069,0.0157064777,0.01940890841,0.02799842727,0.4425554844,0.8092406522,1.001559197,0.0006458937589,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,7,attention,k_proj,0.8432507528,0.005738534675,0.007148216915,0.0102900645,0.4395288536,0.8027924647,1.076994298,8.66093283e-05,0
