seed,step,role,layer,family,module,sub_block,a_rows,a_cols,b_rows,b_cols,n_trainable,base_rows,base_cols,base_numel,rank,alpha,scale,delta_fro,delta_spec,delta_rms,base_fro,base_spec,rel_fro,rel_spec,energy,energy_share,energy_rank,energy_cumshare,norm_energy_share,norm_energy_rank,stable_rank,eff_rank_entropy,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16,rank90,rank95,rank99,sv01,sv02,sv03,sv04,sv05,sv06,sv07,sv08,sv09,sv10,sv11,sv12,sv13,sv14,sv15,sv16
2,2000,first_saved,12,mlp,down_proj,mlp,16,18944,3584,16,360448,3584,18944,67895296,16,32,2,0.03329400786,0.02693261889,4.040603491e-06,135.7320954,10.97227654,0.000245292079,0.002454606279,0.00110849096,0.003772406818,84,0.8601807337,0.001653779936,184,1.528181663,3.949955347,0.6543724638,0.7435886287,0.8833299611,0.9584802997,1,5,8,13,0.02693261889,0.009944612223,0.009116243682,0.008473258217,0.005815104823,0.004483272132,0.004089653676,0.003558515218,0.00297571041,0.002892731881,0.002682042984,0.002522926169,0.002196886251,0.002021013783,0.001837038478,0.001719719453
2,2000,first_saved,13,attention,q_proj,self_attn,16,3584,3584,16,114688,3584,3584,12845056,16,32,2,0.02192056176,0.01228953707,6.116228171e-06,61.02667804,4.278850652,0.0003591963788,0.002872158454,0.0004805110281,0.001635270963,122,0.9592545272,0.003789244305,113,3.181502811,7.512270934,0.3143168682,0.6047537494,0.7562223656,0.9030668573,1,8,11,15,0.01228953707,0.01181347216,0.006226899893,0.005831642838,0.004720005516,0.004265739075,0.0039790334,0.003775276012,0.003262602582,0.002777416796,0.002678530183,0.002375268667,0.002152229844,0.002059181277,0.001876394987,0.001734710414
2,2000,first_saved,13,attention,k_proj,self_attn,16,3584,512,16,65536,512,3584,1835008,16,32,2,0.007921088401,0.004332340285,5.847441412e-06,25.60451226,2.954482292,0.0003093629872,0.001466361906,6.274364145e-05,0.0002135286163,180,0.9972273038,0.003463514478,124,3.342909336,9.364535221,0.2991406286,0.4829671329,0.6726838864,0.8636640224,1,10,12,15,0.004332340285,0.003396166115,0.002668318698,0.002187143179,0.002002352858,0.001814390106,0.001567866339,0.001491025114,0.001331243761,0.001266974999,0.001104676624,0.001035291215,0.0009086463801,0.0008762292568,0.0008258539987,0.0007805068702
2,2000,first_saved,13,attention,v_proj,self_attn,16,3584,512,16,65536,512,3584,1835008,16,32,2,0.01007787602,0.006649476562,7.439607614e-06,22.45929845,1.357320775,0.0004487173115,0.004898972067,0.000101563585,0.0003456403116,162,0.9923847803,0.00560641587,76,2.297011149,6.054874806,0.435348344,0.672025332,0.8055574178,0.9401821222,1,7,9,14,0.006649476562,0.004902832182,0.002757140005,0.002441347239,0.002146082352,0.00197293241,0.00184281151,0.001333747205,0.001114260253,0.001082765528,0.0009641636084,0.000887763297,0.0007973676822,0.0007313778777,0.0006919139266,0.0005423764182
2,2000,first_saved,13,attention,o_proj,self_attn,16,3584,3584,16,114688,3584,3584,12845056,16,32,2,0.02794419132,0.02136533629,7.796928381e-06,57.5119353,5.357018124,0.0004858850805,0.003988288969,0.0007808778283,0.002657476652,103,0.9221413815,0.006157895847,64,1.710659706,4.235457235,0.5845697986,0.7896573878,0.8823420616,0.9511630053,1,5,8,14,0.02136533629,0.01265497338,0.006563699084,0.005412324929,0.004316141464,0.003955716413,0.003344743616,0.002876920182,0.002752340112,0.002599233755,0.002457692065,0.002332461219,0.002032163559,0.001812712139,0.001624069384,0.001506815566
2,2000,first_saved,13,mlp,gate_proj,mlp,16,3584,18944,16,360448,18944,3584,67895296,16,32,2,0.05485367165,0.03865419612,6.657111937e-06,139.2511201,12.89101172,0.0003939190694,0.002998538592,0.003008925294,0.01023994846,35,0.5725741404,0.004489076104,96,2.01380824,6.43656713,0.4965716101,0.640621808,0.7657622819,0.8963239451,1,9,11,15,0.03865419612,0.02081913265,0.01424348067,0.01317807253,0.01104866382,0.01004262557,0.009782033175,0.008615962909,0.007804383708,0.00750158509,0.006708967785,0.006343108683,0.005802003123,0.005718669256,0.004982713181,0.004281611228
2,2000,first_saved,13,mlp,up_proj,mlp,16,3584,18944,16,360448,18944,3584,67895296,16,32,2,0.05955004167,0.0451204491,7.227069426e-06,135.2433981,5.287465668,0.0004403175498,0.008533473676,0.003546207463,0.01206842248,27,0.4869499388,0.005290658169,81,1.741876308,5.227684906,0.5740935768,0.6709725879,0.816130682,0.9262015484,1,7,10,15,0.0451204491,0.01853518471,0.01757683833,0.01434627027,0.01182282012,0.01020436963,0.008879767912,0.00822043885,0.007714399172,0.006844142033,0.005762704372,0.005567240393,0.005306174774,0.004888419109,0.004696690527,0.004127520299
2,2000,first_saved,13,mlp,down_proj,mlp,16,18944,3584,16,360448,3584,18944,67895296,16,32,2,0.03333104543,0.02575699135,4.045098418e-06,133.5886979,10.55101117,0.0002495049803,0.002441187004,0.00111095859,0.003780804636,83,0.8564083269,0.001657461442,183,1.674586582,4.458906258,0.597162315,0.7236393318,0.8739433252,0.9490826548,1,5,9,14,0.02575699135,0.01185372212,0.01072945463,0.007201410681,0.005661476878,0.0048124359,0.004105018647,0.003378408766,0.003352005093,0.003073247298,0.002992436785,0.002748038499,0.002482008445,0.002439086845,0.002006001457,0.00180175721
2,2000,first_saved,14,attention,q_proj,self_attn,16,3584,3584,16,114688,3584,3584,12845056,16,32,2,0.02200167915,0.01519752216,6.13886137e-06,59.87938233,4.193251929,0.0003674333017,0.00362428073,0.0004840738855,0.001647396048,119,0.9543351995,0.003817340512,110,2.095878408,6.291102762,0.4771269156,0.6310667532,0.7935270971,0.9209580489,1,8,10,14,0.01519752216,0.008632395688,0.006618158548,0.005902777934,0.00451555007,0.003932222629,0.003803253755,0.003371748748,0.00293027824,0.002797347808,0.00238828376,0.002269101228,0.002089713505,0.001606558379,0.001583663632,0.001241699038
2,2000,first_saved,14,attention,k_proj,self_attn,16,3584,512,16,65536,512,3584,1835008,16,32,2,0.008527051857,0.004602281022,6.294770823e-06,25.30762157,2.356789779,0.0003369361216,0.001952775366,7.271061336e-05,0.0002474481287,174,0.9958925345,0.004013701727,106,3.432824022,9.168656727,0.291305349,0.4425745511,0.6807902938,0.8893565973,1,9,11,15,0.004602281022,0.003316455407,0.003305280953,0.002529017711,0.002283248715,0.002041588603,0.001801729719,0.00159293602,0.001288694497,0.001235956879,0.001135772949,0.001042575456,0.000895874678,0.0008288595292,0.0007496044144,0.0006543520838
