model_name,seed,step,lambda,lambda_se,eta,eta_se,d,consistency,keep_both_rate,trade_both_rate,hard_choice_yes_rate,target_agreement,parse_failure_rate,W_pseudo_utility,n,estimator_cond_proxy,clean_reduction
Qwen-7B-GRPO-qd-seed1-ckpt28000,seed1,28000,0.03941361,0.00888192,0.7099579,0.02424974,0.7110510898842939,0.796056622851365,0.16996966632962587,0.0339737108190091,0.45985844287158745,0.8375631951466127,0.0,0.9561,9890,6764.800101407022,True
Qwen-7B-GRPO-qd-seed1-ckpt30000,seed1,30000,0.08956642,0.00992042,0.6627938,0.02448008,0.6688181852417414,0.7922143579373104,0.17522750252780586,0.03255813953488372,0.45621840242669365,0.8366531850353893,0.0,0.9555,9890,83185.11594350167,True
Qwen-7B-GRPO-qd-seed2-ckpt2000,seed2,2000,0.83959365,0.03597747,0.48515638,0.04622096,0.9696876869255517,0.39595551061678463,0.5937310414560162,0.01031344792719919,0.21900910010111224,0.6478260869565218,0.0,0.8495,9890,67.41918359875525,False
Qwen-7B-GRPO-qd-seed2-ckpt4000,seed2,4000,0.30890773,0.02144236,0.83224277,0.03726132,0.8877229375604901,0.5430738119312437,0.4375126390293225,0.01941354903943377,0.3044489383215369,0.6998483316481294,0.0,0.8801,9890,791.3629802589684,False
Qwen-7B-GRPO-qd-seed2-ckpt6000,seed2,6000,-0.04242123,0.01184691,0.65850618,0.02907882,0.6598711615557278,0.7109201213346815,0.22588473205257836,0.06319514661274014,0.43619817997977756,0.7545500505561172,0.0,0.9101,9890,4268.623370146063,True
Qwen-7B-GRPO-qd-seed2-ckpt8000,seed2,8000,-0.01917745,0.01122451,0.88688694,0.02764535,0.8870942559452553,0.703943377148635,0.2596562184024267,0.03640040444893832,0.4103134479271992,0.764711830131446,0.0,0.918,9890,1102.2136677514088,True
Qwen-7B-GRPO-qd-seed2-ckpt10000,seed2,10000,0.03122393,0.01111509,0.83418269,0.02682432,0.8347668501445664,0.7175935288169869,0.25237613751263904,0.030030333670374117,0.41617795753286146,0.7806370070778564,0.0,0.9269,9890,646.3733711048159,True
Qwen-7B-GRPO-qd-seed2-ckpt12000,seed2,12000,0.39738541,0.0179764,0.85817801,0.0306347,0.9457191236981667,0.6220424671385237,0.37037411526794745,0.007583417593528817,0.34438827098078867,0.7662285136501517,0.0,0.9211,9890,1261.8647305075876,False
Qwen-7B-GRPO-qd-seed2-ckpt14000,seed2,14000,-0.01508069,0.00952717,1.01925471,0.02649006,1.0193662693399563,0.7372093023255814,0.2358948432760364,0.026895854398382203,0.42406471183013145,0.8033872598584428,0.0,0.9403,9890,177470.25096397486,False
Qwen-7B-GRPO-qd-seed2-ckpt16000,seed2,16000,0.02922679,0.00926092,0.80363931,0.02463558,0.8041705949803065,0.7656218402426693,0.20606673407482307,0.028311425682507583,0.43306370070778566,0.8185035389282103,0.0,0.9479,9890,27247.26609141791,True
Qwen-7B-GRPO-qd-seed2-ckpt18000,seed2,18000,0.18775051,0.01191984,0.78026879,0.02682735,0.8025394935162532,0.7390293225480283,0.24317492416582406,0.017795753286147624,0.41708796764408496,0.8174418604651162,0.0,0.9467,9890,1611.6102195945946,False
Qwen-7B-GRPO-qd-seed2-ckpt20000,seed2,20000,-0.01848645,0.0078405,0.75528523,0.02462926,0.7555114343871676,0.8002022244691608,0.16491405460060668,0.03488372093023256,0.46107178968655205,0.8373104145601618,0.0,0.9559,9890,209018.2018870994,True
Qwen-7B-GRPO-qd-seed2-ckpt22000,seed2,22000,0.00091784,0.00806872,0.77219425,0.02440776,0.7721947954780115,0.7949443882709808,0.17320525783619817,0.03185035389282103,0.45338725985844286,0.8380182002022245,0.0,0.9566,9890,13282.726881720431,True
Qwen-7B-GRPO-qd-seed2-ckpt24000,seed2,24000,0.03515542,0.0085951,0.77460069,0.02504732,0.7753980477818168,0.7900910010111224,0.18129423660262892,0.028614762386248736,0.448938321536906,0.8385237613751264,0.0,0.9568,9890,5538.9975636166755,True
Qwen-7B-GRPO-qd-seed2-ckpt26000,seed2,26000,0.07467805,0.00955965,0.82248346,0.02548166,0.8258667284286092,0.7723963599595551,0.20495449949443884,0.02264914054600607,0.43488372093023253,0.8332153690596562,0.0,0.9552,9890,5.815499516644128e+19,True
Qwen-7B-GRPO-qd-seed2-ckpt28000,seed2,28000,0.0159873,0.00816601,0.79372284,0.02438602,0.7938838331260788,0.7931243680485339,0.1769464105156724,0.02992922143579373,0.4520728008088979,0.8394337714863499,0.0,0.9575,9890,9988.383923215355,True
Qwen-7B-GRPO-qd-seed2-ckpt30000,seed2,30000,4.175e-05,0.00777928,0.78326865,0.02408734,0.783268651112685,0.7976744186046512,0.16996966632962587,0.032355915065722954,0.4577350859453994,0.8415065722952477,0.0,0.9583,9890,12345.168704560476,True
