cell,effective_batch,seed,prompt_exposure,optimizer_updates,validation_ce,validation_ce_se,lambda,eta,d,consistency,keep_both,trade_both,grad_norm_median,grad_norm_p90,grad_norm_p99,grad_norm_max,clipping_fraction,loss_median,loss_roughness,n_nonfinite
sft_sens_phA_eb1_lr1e-6_seed1_h6016,1,1,6016,6016,1.4572554163368117,0.026036069748796974,-0.09521699,0.03829674,0.10262999307847438,0.7166835187057634,0.11041456016177957,0.17290192113245703,0.7595667243003845,87.56302642822266,128.2735137939453,193.8397674560547,0.6008976063829787,0.0036856249207630754,0.7750786817851839,0
sft_sens_phA_eb1_lr1e-6_seed2_h6016,1,2,6016,6016,1.542001181922599,0.027603578508512125,0.25599331,-0.23794079,0.34949734521249254,0.7201213346814964,0.17492416582406473,0.10495449949443883,0.8569062650203705,90.39424133300781,129.23263549804688,381.5478210449219,0.608876329787234,0.003690779791213572,0.7756116073294771,0
sft_sens_phA_eb1_lr1e-6_seed3_h6016,1,3,6016,6016,1.569112927740209,0.02835959780242446,0.11991216,-0.05339769,0.13126400654102288,0.72366026289181,0.16147623862487362,0.11486349848331648,1.1254748702049255,91.77359008789062,135.68167114257812,353.7597961425781,0.6196808510638298,0.005348794860765338,0.7944055195203535,0
sft_sens_phA_eb16_lr1e-6_seed1_h6016,16,1,6016,376,0.5963440253909073,0.003959344160063384,-0.16983493,0.08835616,0.19144376317355052,0.5575328614762386,0.12527805864509606,0.3171890798786653,2.5678224563598633,9.61315631866455,12.3139009475708,13.3615140914917,1.0,0.21702416241168976,0.10168428774674733,0
sft_sens_phA_eb16_lr1e-6_seed2_h6016,16,2,6016,376,0.5930303138147306,0.003902981774339608,-0.03917334,0.08157785,0.09049583513829848,0.5745197168857432,0.18149646107178968,0.24398382204246713,2.6862183809280396,9.907746315002441,13.110600471496582,15.944344520568848,1.0,0.22004079073667526,0.1086652824083964,0
sft_sens_phA_eb16_lr1e-6_seed3_h6016,16,3,6016,376,0.5929958044466207,0.003907698259586425,-0.10150049,0.07617794,0.1269071629691709,0.5683518705763397,0.15106167846309404,0.2805864509605662,2.593921184539795,10.127910614013672,13.956507682800293,14.81578254699707,1.0,0.22065497934818268,0.1028535873889923,0
sft_sens_phA_eb32_lr1e-6_seed1_h6016,32,1,6016,188,0.6619422134447077,0.004725892755953638,-0.07950665,0.66783258,0.6725486319246207,0.5124368048533873,0.3826086956521739,0.10495449949443883,6.516494989395142,9.9782075881958,11.596986770629883,14.281082153320312,1.0,0.3696323037147522,0.10386881152576304,0
sft_sens_phA_eb32_lr1e-6_seed2_h6016,32,2,6016,188,0.6624963314572873,0.004738530782664088,-0.05715351,0.64793654,0.6504523684117782,0.5106167846309403,0.3883720930232558,0.10101112234580384,6.575556993484497,10.7967529296875,12.3089017868042,12.7631196975708,1.0,0.3706571161746979,0.12690940116816027,0
sft_sens_phA_eb32_lr1e-6_seed3_h6016,32,3,6016,188,0.670932293488372,0.004782559853859243,-0.04837134,0.68057095,0.6822877725104695,0.49797775530839233,0.40859453993933265,0.09342770475227502,6.169406890869141,10.537737846374512,12.075618743896484,13.181612014770508,1.0,0.367279976606369,0.1280896849332646,0
sft_sens_phA_eb64_lr1e-6_seed1_h6016,64,1,6016,94,2.0529129348686688,0.009493322771062759,2.02063686,1.50521805,2.519653686131581,0.023356926188068755,0.9765419615773508,0.00010111223458038423,9.076263427734375,10.477311134338379,11.768414497375488,12.895942687988281,1.0,0.7736112773418427,0.12853054077394546,0
sft_sens_phA_eb64_lr1e-6_seed2_h6016,64,2,6016,94,2.0694203411391943,0.009565631432833515,2.19115666,1.44863846,2.6267319803233686,0.023356926188068755,0.9765419615773508,0.00010111223458038423,9.180415630340576,10.555014610290527,11.139617919921875,11.985921859741211,1.0,0.7948594093322754,0.12550595050217003,0
sft_sens_phA_eb64_lr1e-6_seed3_h6016,64,3,6016,94,2.0701253556965105,0.009516006730995051,2.06205759,1.36023419,2.4702871404194218,0.022345803842264915,0.9775530839231547,0.00010111223458038423,8.991596698760986,10.78672981262207,11.213133811950684,11.921853065490723,1.0,0.7565253973007202,0.12396381426883,0
