Parameter,Estimate,Std. Err.,Variance
lambda,0.06393829,0.01588407,0.00025230
eta,0.59305106,0.03447543,0.00118856
alpha_2,0.60786421,0.02722596,0.00074125
alpha_3,0.32133471,0.03060304,0.00093655
alpha_4,0.45010126,0.02877915,0.00082824
alpha_5,0.50213714,0.02805697,0.00078719
alpha_6,0.26441077,0.03171849,0.00100606
alpha_7,-3.75449246,1.83114188,3.35308059
alpha_8,-45.42843504,0.00000000,0.00000000
alpha_9,0.76793357,0.02629866,0.00069162
alpha_10,0.04978212,0.03678577,0.00135319
alpha_11,0.61233222,0.02718648,0.00073910
alpha_12,0.42490239,0.02912365,0.00084819
alpha_13,0.33645588,0.03023338,0.00091406
alpha_14,0.62697171,0.02716738,0.00073807
alpha_15,0.23554622,0.03218147,0.00103565
alpha_16,-0.01258789,0.03845975,0.00147915
alpha_17,0.35442968,0.03007980,0.00090479
alpha_18,-0.08736414,0.04113334,0.00169195
alpha_19,0.37409222,0.03002466,0.00090148
alpha_20,-0.27168331,0.04771824,0.00227703
alpha_21,-40.66331075,0.00000000,0.00000000
alpha_22,-219.55103887,0.00000000,0.00000000
alpha_23,-0.31912135,0.04970251,0.00247034
alpha_24,0.06732849,0.03676647,0.00135177
alpha_25,0.07747912,0.03576337,0.00127902
alpha_26,-153.21597976,0.00000000,0.00000000
alpha_27,-0.02681001,0.03879484,0.00150504
alpha_28,-0.33995156,0.05112545,0.00261381
alpha_29,0.20425762,0.03294404,0.00108531
alpha_30,0.09709132,0.03509415,0.00123160
alpha_31,0.32729877,0.03087160,0.00095306
alpha_32,-0.35021011,0.05151330,0.00265362
alpha_33,-3.33917729,1.19917905,1.43803040
alpha_34,-0.08808984,0.04155993,0.00172723
alpha_35,-0.02640529,0.03861896,0.00149142
alpha_36,0.41677872,0.02928368,0.00085753
alpha_37,0.29599473,0.03098667,0.00096017
alpha_38,0.52818709,0.02762344,0.00076305
alpha_39,0.81941063,0.02653410,0.00070406
alpha_40,0.80907428,0.02629860,0.00069162
alpha_41,0.40237792,0.02970658,0.00088248
alpha_42,0.41774095,0.02911822,0.00084787
alpha_43,-0.22670437,0.04590710,0.00210746
alpha_44,0.38188482,0.02990068,0.00089405
alpha_45,0.11246208,0.03482389,0.00121270
alpha_46,0.48339290,0.02846162,0.00081006
alpha_47,0.45906383,0.02859993,0.00081796
alpha_48,0.02259936,0.03724861,0.00138746
alpha_49,0.43971503,0.02924598,0.00085533
alpha_50,0.71771474,0.02641295,0.00069764
"beta_1,2",0.36542326,0.01962746,0.00038524
"beta_1,3",0.47399002,0.01891954,0.00035795
"beta_2,1",0.45262853,0.01904682,0.00036278
"beta_2,2",0.64009541,0.01847477,0.00034132
"beta_2,3",0.72547681,0.01835426,0.00033688
"beta_3,1",0.55841893,0.01859860,0.00034591
"beta_3,2",0.78564128,0.01846074,0.00034080
"beta_3,3",0.82533138,0.01847275,0.00034124
