seed,step,model_name,on_selection_grid,selected,exploratory,lambda,eta,d,rss,log10_cond_jacobian,spearman_alpha,spearman_beta,spearman_utility
base,0,Qwen-7B-Base-Local,False,False,False,7.63679813,1.00702456,7.70290751228487,49.95144776439565,2.109344778499684,1.0,1.0,1.0
seed1,2000,Qwen-7B-GRPO-qd-seed1-ckpt2000,True,True,False,0.03175071,0.09098552,0.0963663449300351,1687.3908194917785,1.9879701590967687,0.7824118738404453,0.9761904761904763,0.791973125892748
seed1,4000,Qwen-7B-GRPO-qd-seed1-ckpt4000,True,False,False,0.05025486,1.14314243,1.1442465495774607,1491.1419579619467,17.156499347922274,0.8165615337043908,0.9761904761904763,0.8227235177656599
seed1,6000,Qwen-7B-GRPO-qd-seed1-ckpt6000,True,False,False,0.08315229,0.98334883,0.9868582597286263,1573.1880026323397,16.996962167684437,0.8284230055658626,0.9761904761904763,0.8348788414142075
seed1,8000,Qwen-7B-GRPO-qd-seed1-ckpt8000,True,False,False,0.16292992,1.3397448,1.349615607481718,1180.991555445793,16.79171673215592,0.857377860235003,0.9761904761904763,0.8553496156579617
seed1,10000,Qwen-7B-GRPO-qd-seed1-ckpt10000,True,False,False,-0.10498766,0.91666693,0.922659563060992,1282.0332060452824,17.551851773203268,0.8658627087198515,0.9761904761904763,0.8492486863152506
seed1,12000,Qwen-7B-GRPO-qd-seed1-ckpt12000,True,False,False,-0.05558673,0.76031616,0.7623454254530806,1195.7400575459988,18.20111426847046,0.893147804576376,0.9761904761904763,0.8696312479224275
seed1,14000,Qwen-7B-GRPO-qd-seed1-ckpt14000,True,False,False,-0.03484524,0.96034803,0.9609799839099348,1230.6630882926916,16.7230010471781,0.9048484848484848,0.9285714285714287,0.8840241616879594
seed1,16000,Qwen-7B-GRPO-qd-seed1-ckpt16000,True,False,False,0.30768435,0.85257063,0.906391934194871,1192.6754878209092,16.411045505353137,0.9253679653679653,0.9285714285714287,0.9076709312809852
seed1,18000,Qwen-7B-GRPO-qd-seed1-ckpt18000,True,False,False,0.20738535,0.63388015,0.6669428221059471,1192.8635949386803,16.728114609688728,0.9282745825602967,0.9285714285714287,0.9082177343682113
seed1,20000,Qwen-7B-GRPO-qd-seed1-ckpt20000,True,False,False,0.18741158,0.59697018,0.62569680846823,1244.245791020699,17.404609944976098,0.9332838589981446,0.9285714285714287,0.9097946770831398
seed1,22000,Qwen-7B-GRPO-qd-seed1-ckpt22000,True,False,False,0.16594159,0.62124962,0.6430300938850937,1221.8381372674735,17.68428885837142,0.9395670995670996,0.9285714285714287,0.9128488329503401
seed1,24000,Qwen-7B-GRPO-qd-seed1-ckpt24000,True,False,False,0.2001426,0.54279293,0.5785164001069847,1214.8614429259785,16.99617402343336,0.9406926406926407,0.9285714285714287,0.9152338330596808
seed1,26000,Qwen-7B-GRPO-qd-seed1-ckpt26000,True,False,False,0.21957647,0.64893156,0.6850737155530742,1186.4111554941417,16.809075096265573,0.9423623995052566,0.9285714285714287,0.9173348694677875
seed1,28000,Qwen-7B-GRPO-qd-seed1-ckpt28000,True,False,False,0.03941361,0.7099579,0.7110510898842939,1232.6133737127764,16.95020092079381,0.9408286951144094,0.9285714285714287,0.9104569594118841
seed1,30000,Qwen-7B-GRPO-qd-seed1-ckpt30000,True,False,False,0.08956642,0.6627938,0.6688181852417414,1223.775196365607,17.1304649442212,0.9413358070500928,0.9285714285714287,0.9132524920414558
