step,reward,reward_std,loss,kl,entropy,frac_reward_zero_std,grad_norm,learning_rate,epoch
10,-0.3595320850610733,0.2803165569901466,8.943186912802048e-07,1.552117319079116e-05,0.15222007189877332,0.6,0.004911190830171108,6e-09,0.00010111223458038423
20,-0.07114210724830627,0.13209747076034545,-0.011432144045829772,7.880106568336487e-05,0.07945183287374676,0.7,6.35845765373233e-07,1.2666666666666666e-08,0.00020222446916076846
30,-0.20982550978660583,0.42113462686538694,4.351139068603516e-06,0.00010888446122407913,0.1154811801854521,0.8,23.904258728027344,1.9333333333333334e-08,0.00030333670374115267
40,-0.13357880115509033,0.17231148481369019,1.2502074241638184e-06,3.112964332103729e-05,0.08622048699762672,0.9,14.936338424682617,2.5999999999999998e-08,0.0004044489383215369
50,-0.026049431692808867,0.248212730884552,-0.01173878088593483,0.0001672562211751938,0.130969203193672,0.6,0.03424179181456566,3.266666666666666e-08,0.0005055611729019212
60,0.027431571483612062,0.09743446409702301,-0.0003464853623881936,1.8716603517532348e-05,0.09306187920738011,0.7,6.497604090327513e-07,3.933333333333333e-08,0.0006066734074823053
70,0.2471564754843712,0.16544241234660148,-0.00017667487263679505,3.486163914203644e-05,0.10083613554015755,0.7,5.462324619293213,4.5999999999999995e-08,0.0007077856420626896
80,-0.09005934074521064,0.07924907803535461,2.469865830789786e-06,6.194114685058594e-05,0.09517203294672072,0.8,0.00015516809071414173,5.266666666666666e-08,0.0008088978766430738
90,0.08555923402309418,0.09368083029985427,7.085781544446945e-06,0.0001770978793501854,0.10124397925101221,0.6,1.7417923212051392,5.9333333333333335e-08,0.000910010111223458
100,-0.08362893462181091,0.10371338427066804,-0.00022945029195398092,5.447901785373688e-05,0.10412645651958882,0.7,0.733421266078949,6.6e-08,0.0010111223458038423
110,-0.1934935763478279,0.1563128761947155,3.1466770451515913e-06,7.866732776165008e-05,0.10628515551798046,0.7,3.987328227594844e-07,7.266666666666667e-08,0.0011122345803842265
120,0.0,0.0,2.9541553203671356e-08,7.385388016700745e-07,0.08365150070749224,1.0,1.7151771317003295e-05,7.933333333333333e-08,0.0012133468149646107
130,-0.05006173811852932,0.21628449019044638,6.079415106796659e-06,0.00015205908566713334,0.13026144951581956,0.6,1.5669102140236646e-05,8.599999999999999e-08,0.0013144590495449949
140,-0.40520942211151123,0.308747860789299,3.8433372537838295e-06,9.616278111934662e-05,0.08940792288631201,0.7,5.7987779911172765e-08,9.266666666666666e-08,0.0014155712841253793
150,-0.11341880485415459,0.09240314811468124,-0.0004756845533847809,0.00014982838183641434,0.109787059109658,0.7,2.9917526245117188,9.933333333333332e-08,0.0015166835187057635
160,-0.11051341593265533,0.10227815229445696,2.5914618163369595e-06,6.479285657405854e-05,0.1245040186215192,0.6,1.2919304936076514e-05,1.06e-07,0.0016177957532861476
170,-0.07279794812202453,0.0637110337615013,2.6458434149390087e-06,6.610527634620667e-05,0.12022079543676227,0.8,6.958592990713441e-08,1.1266666666666666e-07,0.0017189079878665318
180,-0.009979496896266937,0.009089726209640502,2.0954757928848267e-06,4.6809390187263486e-05,0.08638245966285467,0.9,0.6434730887413025,1.1933333333333332e-07,0.001820020222446916
190,-0.057956849411129954,0.03311820011585951,6.103144187363796e-07,1.522991806268692e-05,0.09847270667087286,0.8,2.2355086457537254e-06,1.26e-07,0.0019211324570273002
200,-0.029098307341337205,0.08191440664231778,3.5459379432722926e-06,8.862894028425217e-05,0.12085719162132591,0.7,8.687901754456107e-06,1.3266666666666664e-07,0.0020222446916076846
210,-0.12992823421955108,0.1714452624320984,1.0449439287185669e-07,2.6386231184005736e-06,0.08926972516346723,0.8,1.006645917892456,1.3933333333333334e-07,0.002123356926188069
220,-0.010863988101482392,0.006207993254065514,7.487649327231338e-08,1.8695369362831117e-06,0.08608989627100527,0.9,8.774672460276634e-05,1.4599999999999998e-07,0.002224469160768453
230,-0.19763474315404891,0.1381336458027363,-0.00048458166420459745,0.00014815405011177064,0.13011835594661533,0.5,3.9506399631500244,1.5266666666666666e-07,0.002325581395348837
240,-0.1039912834763527,0.11879491060972214,-0.0001928849145770073,6.37538731098175e-05,0.11287596400361508,0.7,3.7916741371154785,1.5933333333333333e-07,0.0024266936299292214
250,-0.03086247555911541,0.17249917667359113,0.00012635556049644947,0.00029727090150117875,0.09892926039174199,0.4,1.872336983680725,1.66e-07,0.0025278058645096056
