seed,step,model_name,exploratory,alpha_pearson,alpha_spearman,alpha_mae,alpha_rmse,alpha_pearson_excl_37_51,alpha_spearman_excl_37_51,beta_pearson,beta_spearman,beta_mae,beta_rmse,utility_pearson,utility_spearman,utility_mae,utility_rmse
seed1,2000,Qwen-7B-GRPO-qd-seed1-ckpt2000,False,0.7291375958992868,0.7824118738404453,0.66199806,0.757841583127182,0.7259052215664924,0.7705791079318324,0.9825541008583922,0.9761904761904763,0.13336578124999998,0.13845999687014,0.7687638784057725,0.791973125892748,1.148679933470725,1.505403199519201
seed1,4000,Qwen-7B-GRPO-qd-seed1-ckpt4000,False,0.27097363039207006,0.8165615337043908,1.305208671010101,7.048753176696311,0.7340395201626976,0.8058331580054702,0.9767765332007663,0.9761904761904763,0.289087455,0.2957960209278868,0.8099543181119525,0.8227235177656599,1.3725694590979416,1.9205480561201713
seed1,6000,Qwen-7B-GRPO-qd-seed1-ckpt6000,False,0.34263276238820933,0.8284230055658626,1.1282261515151515,4.484961319440238,0.7592736050230772,0.8183515674310959,0.9711399276613472,0.9761904761904763,0.314252915,0.3196082687759144,0.7434549095339833,0.8348788414142075,1.7469689726044042,3.0781284505245843
seed1,8000,Qwen-7B-GRPO-qd-seed1-ckpt8000,False,0.17905358930621343,0.857377860235003,9.28545420949495,66.63311322819088,0.12559467462701057,0.8491742057647801,0.9684251592038169,0.9761904761904763,0.16314596,0.17094687561790775,0.8412291502120373,0.8553496156579617,1.6070918748704208,2.4124879009229483
seed1,10000,Qwen-7B-GRPO-qd-seed1-ckpt10000,False,0.24871883547157222,0.8658627087198515,12.248295560808074,76.118914614805,0.13307480535669464,0.8581553755522826,0.9725863787882025,0.9761904761904763,0.11282484624999999,0.12213481461982373,0.8339904400058094,0.8492486863152506,2.2055002218111577,3.427265085675169
seed1,12000,Qwen-7B-GRPO-qd-seed1-ckpt12000,False,0.24420568729960487,0.893147804576376,24.743844310303032,171.1736451759115,0.15113848316135706,0.8870318746055121,0.9715646275759502,0.9761904761904763,0.10891480999999997,0.11876466938672585,0.8362758953005975,0.8696312479224275,2.3982966648177264,3.865847789278989
seed1,14000,Qwen-7B-GRPO-qd-seed1-ckpt14000,False,0.21347539600680931,0.9048484848484848,37.65611638686868,332.7822786945957,0.1553772283585842,0.8993661897748789,0.9680470131095716,0.9285714285714287,0.18643172749999998,0.19358772344191655,0.7634129741289741,0.8840241616879594,2.7733826096312724,5.22700390340559
seed1,16000,Qwen-7B-GRPO-qd-seed1-ckpt16000,False,0.27074037395205824,0.9253679653679653,2.073704009191919,12.566665830966569,0.8744928732610826,0.9211024616031979,0.9611115417809583,0.9285714285714287,0.2608886125,0.268210684739548,0.8030525660630459,0.9076709312809852,2.695831126366589,5.089931190969857
seed1,18000,Qwen-7B-GRPO-qd-seed1-ckpt18000,False,0.14497954585244346,0.9282745825602967,57.842146796262625,565.2153095884839,0.8763451500896094,0.9242320639596043,0.9673597127084019,0.9285714285714287,0.21898359125,0.22682286087048575,0.7305692196845837,0.9082177343682113,3.3724070213080752,7.444233142460747
seed1,20000,Qwen-7B-GRPO-qd-seed1-ckpt20000,False,0.20428267993975632,0.9332838589981446,31193.123496019907,299240.2521826916,0.8871449577455335,0.9294393014937933,0.9682854212995626,0.9285714285714287,0.22544642,0.23318881150542062,0.6967199339471494,0.9097946770831398,4.099049709651018,9.808024676240535
seed1,22000,Qwen-7B-GRPO-qd-seed1-ckpt22000,False,0.2329049515680426,0.9395670995670996,2069.5466444082826,16461.172656580915,0.8851413448574095,0.936119293078056,0.9698921723255046,0.9285714285714287,0.20041646000000002,0.2082925310054449,0.7365585111998303,0.9128488329503401,3.9309972453279176,8.668069516982817
seed1,24000,Qwen-7B-GRPO-qd-seed1-ckpt24000,False,0.24557986751524863,0.9406926406926407,483.5381389428283,3492.9827195126463,0.8962100855167013,0.9372896065642751,0.9696281000213853,0.9285714285714287,0.19693829124999998,0.20470072662473895,0.7324350291773828,0.9152338330596808,4.022682472438363,8.948437344231957
seed1,26000,Qwen-7B-GRPO-qd-seed1-ckpt26000,False,0.2129943585560494,0.9423623995052566,8.77571456777778,77.27519408794156,0.9009151885149617,0.9390253524090046,0.968174285915234,0.9285714285714287,0.19876793499999998,0.20665069926224716,0.7307478522115131,0.9173348694677875,3.949829832526345,8.81196328147459
seed1,28000,Qwen-7B-GRPO-qd-seed1-ckpt28000,False,0.24243685016855787,0.9408286951144094,13.282110026969695,86.80010159807362,0.13632467614073213,0.9375788975383968,0.975257535548811,0.9285714285714287,0.10666266875,0.11557669844254381,0.8201627462968599,0.9104569594118841,3.3254577220660386,5.9869071049305544
seed1,30000,Qwen-7B-GRPO-qd-seed1-ckpt30000,False,0.22045967364856647,0.9413358070500928,19.920521743535357,169.33646507425937,0.8767537757374675,0.9380128339995791,0.9732613992156928,0.9285714285714287,0.14806003375,0.1560001264775272,0.7886137567523921,0.9132524920414558,3.6604685327030673,7.213160114678032
seed2,2000,Qwen-7B-GRPO-qd-seed2-ckpt2000,False,0.8096196992035651,0.8322943722943723,0.6239961642424242,0.6980858542754161,0.7983813622679582,0.8224542394277298,0.9831829166256575,0.9761904761904763,0.09563903125,0.10658913879504053,0.8061567696343358,0.8424531388310358,0.9886893885928645,1.2892006046682019
seed2,4000,Qwen-7B-GRPO-qd-seed2-ckpt4000,False,0.7806001378380066,0.8215584415584415,0.6395026955555555,0.7253391324566717,0.7763084158394749,0.8112376393856511,0.9790763532801524,0.9761904761904763,0.21246177249999998,0.22011250459983428,0.7975824702473384,0.8328469541320422,1.3546097319509836,1.9197677821607626
seed2,6000,Qwen-7B-GRPO-qd-seed2-ckpt6000,False,0.24741852241881981,0.8269016697588125,26.89438343919192,191.26336062697706,0.75685162487201,0.8168130654323584,0.976518361849257,0.9761904761904763,0.267030455,0.2722198172223533,0.784034323018972,0.8303440564123943,1.7849532994885522,2.813803370791634
seed2,8000,Qwen-7B-GRPO-qd-seed2-ckpt8000,False,0.2480047539255152,0.8461842918985777,44.608227006363634,311.5481510223982,0.7878157722139285,0.8371291815695349,0.9743225145871435,0.9761904761904763,0.20109455625,0.20724508981399783,0.8311801113878698,0.8453329906551372,1.8677462251745416,2.7274193610285065
seed2,10000,Qwen-7B-GRPO-qd-seed2-ckpt10000,False,0.18532899234071143,0.8731972789115645,18.565799162929295,149.28393744380514,0.8305428134177799,0.8658215863665054,0.9719594789963619,0.9761904761904763,0.16923672374999998,0.17658995262916152,0.857501555899295,0.8678504382601226,2.0002986411551165,2.9181501811005086
seed2,12000,Qwen-7B-GRPO-qd-seed2-ckpt12000,False,0.2062945701539847,0.8987012987012986,10.9755589579798,101.36246557564914,0.870535100548149,0.8926730486008835,0.973399931940341,0.9285714285714287,0.1532371325,0.16001966338548562,0.8522821841313393,0.8894696031985997,1.9707162824487305,3.111667211562039
seed2,14000,Qwen-7B-GRPO-qd-seed2-ckpt14000,False,0.27437544285653287,0.9052071737786023,16.9942713919192,102.5636907702927,0.2306588559756839,0.8996949295181988,0.9695729469749396,0.9285714285714287,0.05912453625,0.07811349038646886,0.8490059048228354,0.8803104859800239,2.50717799572277,4.0577969932298386
seed2,16000,Qwen-7B-GRPO-qd-seed2-ckpt16000,False,0.2061801815082742,0.9257513914656771,7.565890866565657,53.48337323533169,0.849286103297153,0.9214706501157163,0.9677493454887016,0.9285714285714287,0.08014785499999999,0.0946005734762007,0.8853918902008903,0.8979018492615423,2.4468270557614904,3.6733490875267414
