step,reward,reward_std,loss,kl,entropy,frac_reward_zero_std,grad_norm,learning_rate,epoch
10,-0.12472870647907257,0.030194169282913207,-1.1175870895385742e-09,0.0,0.09537169774994254,0.8,0.0,1.8200202224469159e-09,0.00010111223458038423
20,-0.022452979907393457,0.01556114125996828,5.587935447692871e-09,1.5310943126678467e-07,0.10774077642709017,0.8,0.7048059701919556,3.8422649140546e-09,0.00020222446916076846
30,0.013147187232971192,0.007512678205966949,1.3984742963657482e-08,3.417953848838806e-07,0.06876983714755625,0.9,2.1025591649959097e-06,5.864509605662285e-09,0.00030333670374115267
40,-0.44850397706031797,0.6693774029612541,-0.0009383744560182095,0.00017826147377490996,0.15523227569647133,0.4,2.976755013150978e-06,7.886754297269969e-09,0.0004044489383215369
50,-0.01945083923637867,0.16062366217374802,-0.00922730416059494,4.281830042600632e-05,0.11238993748556822,0.5,0.38959991931915283,9.908998988877653e-09,0.0005055611729019212
60,-0.04709499292075634,0.30630246847867965,3.7223635445116088e-06,9.27673652768135e-05,0.14229223576840014,0.6,1.1871508149852161e-06,1.1931243680485338e-08,0.0006066734074823053
70,-0.3880365490913391,0.3984609330072999,0.01249867007136345,0.0001753268763422966,0.14604660149198026,0.5,3.500488219287945e-06,1.3953488372093022e-08,0.0007077856420626896
80,-0.13153009563684465,0.14724256470799446,5.275232251733542e-06,0.0001317659392952919,0.11538658514618874,0.7,0.00013646607112605125,1.5975733063700707e-08,0.0008088978766430738
90,-0.03790300488471985,0.034523576498031616,8.789831190370023e-06,0.00021970607340335846,0.08453624399844557,0.9,7.728045261501393e-07,1.7997977755308394e-08,0.000910010111223458
100,0.10270776450634003,0.07838816046714783,2.425961611152161e-06,6.065554916858673e-05,0.08833065468352289,0.8,0.00020389871497172862,2.0020222446916078e-08,0.0010111223458038423
110,-0.06812397390604019,0.10836664475500583,0.0001486134948208928,0.00014882851392030715,0.11317749689333141,0.7,5.175545084057376e-05,2.204246713852376e-08,0.0011122345803842265
