seed,step,reward,reward_std,loss,kl,entropy,frac_reward_zero_std,grad_norm,learning_rate,epoch
seed1,10,-0.0107886672019958,0.0098267503082752,0.0,0.0,0.070436242967844,0.9,0.0,6e-09,0.0001011122345803
seed1,20,-0.2559692233800888,0.4234504878520965,-0.0056707724928855,0.0001555409282445,0.1738756761653349,0.6,1.5760735550429672e-05,1.2666666666666666e-08,0.0002022244691607
seed1,30,-0.2590481579303741,0.1624857011483982,-5.629309453070164e-05,7.392875850200653e-05,0.1366870386525988,0.6,0.0001431372802471,1.933333333333333e-08,0.0003033367037411
seed1,40,-0.1743936061859131,0.0780139744281768,1.74348424479831e-06,4.381313920021057e-05,0.099118586955592,0.9,1.900686402223073e-05,2.6e-08,0.0004044489383215
seed1,50,-0.1957670893520116,0.0014850346371531,5.8349786513645095e-08,1.5251338481903075e-06,0.0764227230567485,0.9,5.48462367078173e-07,3.266666666666666e-08,0.0005055611729019
seed1,60,-0.007612856477499,0.0069340944290161,-0.0011263554915785,2.6593729853630065e-05,0.14439549499657,0.9,3.0122911994112656e-05,3.9333333333333335e-08,0.0006066734074823
seed1,70,-0.1406513288617134,0.115786201134324,5.730619159294293e-06,0.0001303765922784,0.1181242402875795,0.7,1.0861861483135726e-05,4.6e-08,0.0007077856420626
seed1,80,0.06057690680027,0.1493279870599508,0.0002826300449669,7.009828987065702e-05,0.0914178400067612,0.6,3.685511956064147e-06,5.266666666666666e-08,0.000808897876643
seed1,90,-0.1238747164607048,0.1496168598532676,-0.0080128505825996,5.102921277284622e-05,0.1029035319341346,0.7,2.980904127980466e-06,5.9333333333333335e-08,0.0009100101112234
seed1,100,-0.0888724774122238,0.0999007582664489,-0.0054152585566043,5.005933344364167e-05,0.0992268797708675,0.7,1.207977948070038e-05,6.6e-08,0.0010111223458038
seed1,110,0.2027523752301931,0.2242806794121861,0.0041317451745271,0.0003368657082319,0.1197582476306706,0.6,1.360821806883905e-05,7.266666666666668e-08,0.0011122345803842
seed1,120,0.0692773818969726,0.0631006121635437,1.576445356477052e-06,3.9409101009368894e-05,0.0975056579103693,0.9,3.3118656119768275e-06,7.933333333333334e-08,0.0012133468149646
